        Frequency / GHz                S1,1[1.0,0.0]+2[1.0,90],[0.85] (LIFA2=34)/abs,dB
              0.67180002                      -0.1005983
              0.67269999                     -0.10298156
              0.67360002                     -0.10545147
              0.67449999                     -0.10799311
              0.67540002                     -0.11059044
              0.67629999                     -0.11322964
              0.67720002                     -0.11589447
              0.67809999                     -0.11856893
              0.67900002                     -0.12123767
              0.67989999                     -0.12388507
              0.68080002                     -0.12649629
              0.68169999                     -0.12905758
              0.68260002                     -0.13155517
              0.68349999                     -0.13397596
              0.68440002                     -0.13630768
              0.68529999                     -0.13854116
              0.68620002                     -0.14066662
              0.68709999                     -0.14267638
              0.68800002                     -0.14456412
              0.68889999                     -0.14632455
              0.68980002                     -0.14795545
              0.69069999                     -0.14945514
              0.69160002                     -0.15082443
                  0.6925                     -0.15206308
              0.69340003                     -0.15317738
                  0.6943                     -0.15417126
              0.69520003                     -0.15505175
                  0.6961                     -0.15582791
              0.69700003                     -0.15650857
                  0.6979                     -0.15710627
              0.69880003                      -0.1576336
                  0.6997                     -0.15810334
              0.70060003                     -0.15853034
                  0.7015                     -0.15893049
              0.70240003                     -0.15932045
                  0.7033                     -0.15971576
              0.70420003                     -0.16013522
                  0.7051                     -0.16059517
              0.70599997                     -0.16111322
                  0.7069                     -0.16170668
              0.70779997                     -0.16239288
                  0.7087                     -0.16318709
              0.70959997                     -0.16410685
                  0.7105                     -0.16516594
              0.71139997                     -0.16637954
                  0.7123                     -0.16775901
              0.71319997                     -0.16931783
                  0.7141                     -0.17106652
              0.71499997                     -0.17301341
                  0.7159                     -0.17516634
              0.71679997                     -0.17753143
                  0.7177                     -0.18011415
              0.71859998                     -0.18291551
              0.71950001                     -0.18593948
              0.72039998                     -0.18918303
              0.72130001                     -0.19264539
              0.72219998                     -0.19632287
              0.72310001                     -0.20020912
              0.72399998                     -0.20429748
              0.72490001                     -0.20858133
              0.72579998                     -0.21304883
              0.72670001                     -0.21769158
              0.72759998                     -0.22249502
              0.72850001                     -0.22744829
              0.72939998                     -0.23253686
              0.73030001                     -0.23774594
              0.73119998                     -0.24306206
              0.73210001                     -0.24846831
              0.73299998                     -0.25394951
              0.73390001                     -0.25949108
              0.73479998                      -0.2650774
              0.73570001                     -0.27069559
              0.73659998                     -0.27632868
              0.73750001                     -0.28196452
              0.73839998                     -0.28759169
              0.73930001                      -0.2931975
              0.74019998                     -0.29877278
              0.74110001                     -0.30430937
              0.74199998                     -0.30979972
              0.74290001                      -0.3152389
              0.74379998                     -0.32062397
              0.74470001                     -0.32595257
              0.74559999                     -0.33122508
              0.74650002                     -0.33644448
              0.74739999                     -0.34161515
              0.74830002                     -0.34674359
              0.74919999                     -0.35183783
              0.75010002                     -0.35691011
              0.75099999                     -0.36197131
              0.75190002                     -0.36703766
              0.75279999                     -0.37212296
              0.75370002                     -0.37724866
              0.75459999                     -0.38243113
              0.75550002                     -0.38769365
              0.75639999                      -0.3930581
              0.75730002                     -0.39854739
              0.75819999                     -0.40418702
              0.75910002                     -0.41000317
              0.75999999                     -0.41601954
              0.76090002                     -0.42226425
              0.76179999                     -0.42876466
              0.76270002                     -0.43554589
              0.76359999                      -0.4426361
              0.76450002                     -0.45006128
              0.76539999                     -0.45784674
              0.76630002                     -0.46601907
              0.76719999                     -0.47460261
              0.76810002                      -0.4836199
              0.76899999                     -0.49309378
              0.76990002                     -0.50304703
              0.77079999                     -0.51349788
              0.77170002                     -0.52446656
                  0.7726                     -0.53597043
              0.77350003                     -0.54802415
                  0.7744                     -0.56064241
              0.77530003                     -0.57383718
                  0.7762                     -0.58762169
              0.77710003                     -0.60200423
                   0.778                     -0.61699411
              0.77890003                     -0.63259715
                  0.7798                     -0.64881936
              0.78070003                     -0.66566654
                  0.7816                      -0.6831411
              0.78250003                     -0.70124552
                  0.7834                     -0.71998337
              0.78430003                     -0.73935578
                  0.7852                     -0.75936361
              0.78609997                     -0.78000892
                   0.787                     -0.80129383
              0.78789997                     -0.82322041
                  0.7888                     -0.84579008
              0.78969997                     -0.86900759
                  0.7906                     -0.89287961
              0.79149997                     -0.91741332
                  0.7924                     -0.94261545
              0.79329997                     -0.96849975
                  0.7942                     -0.99507809
              0.79509997                       -1.022368
                   0.796                      -1.0503903
              0.79689997                      -1.0791658
                  0.7978                      -1.1087244
              0.79869998                      -1.1390954
              0.79960001                      -1.1703129
              0.80049998                      -1.2024189
              0.80140001                      -1.2354557
              0.80229998                      -1.2694727
              0.80320001                      -1.3045239
              0.80409998                      -1.3406678
              0.80500001                      -1.3779711
              0.80589998                      -1.4165014
              0.80680001                       -1.456336
              0.80769998                      -1.4975552
              0.80860001                      -1.5402452
              0.80949998                      -1.5844985
              0.81040001                      -1.6304146
              0.81129998                      -1.6780961
              0.81220001                      -1.7276541
              0.81309998                      -1.7792036
              0.81400001                      -1.8328663
              0.81489998                      -1.8887698
              0.81580001                      -1.9470466
              0.81669998                      -2.0078365
              0.81760001                      -2.0712842
              0.81849998                       -2.137542
              0.81940001                      -2.2067669
              0.82029998                      -2.2791226
              0.82120001                      -2.3547771
              0.82209998                      -2.4339096
              0.82300001                      -2.5167019
              0.82389998                      -2.6033463
              0.82480001                      -2.6940379
              0.82569999                      -2.7889858
              0.82660002                      -2.8884034
              0.82749999                      -2.9925118
              0.82840002                      -3.1015443
              0.82929999                      -3.2157434
              0.83020002                      -3.3353663
              0.83109999                      -3.4606743
              0.83200002                      -3.5919474
              0.83289999                      -3.7294813
              0.83380002                      -3.8735832
              0.83469999                      -4.0245817
              0.83560002                      -4.1828225
              0.83649999                      -4.3486739
              0.83740002                      -4.5225264
              0.83829999                         -4.7048
              0.83920002                      -4.8959447
              0.84009999                      -5.0964413
              0.84100002                      -5.3068116
              0.84189999                        -5.52762
              0.84280002                      -5.7594801
              0.84369999                      -6.0030588
              0.84460002                      -6.2590905
              0.84549999                      -6.5283802
              0.84640002                      -6.8118154
              0.84729999                      -7.1103862
              0.84820002                      -7.4251895
              0.84909999                      -7.7574567
              0.85000002                       -8.108576
              0.85089999                      -8.4801156
              0.85180002                      -8.8738596
                  0.8527                       -9.291856
              0.85360003                      -9.7364628
                  0.8545                      -10.210416
              0.85540003                       -10.71692
                  0.8563                      -11.259749
              0.85720003                      -11.843392
                  0.8581                      -12.473231
              0.85900003                      -13.155781
                  0.8599                      -13.899002
              0.86080003                      -14.712698
                  0.8617                      -15.609024
              0.86260003                      -16.603058
                  0.8635                      -17.713283
              0.86440003                       -18.96137
                  0.8653                      -20.369231
              0.86619997                      -21.946922
                  0.8671                      -23.652296
              0.86799997                      -25.280674
                  0.8689                      -26.305412
              0.86979997                      -26.124141
                  0.8707                      -24.869489
              0.87159997                      -23.199442
                  0.8725                      -21.539126
              0.87339997                      -20.028749
                  0.8743                      -18.687972
              0.87519997                      -17.500953
                  0.8761                      -16.445205
              0.87699997                      -15.499862
                  0.8779                      -14.647454
              0.87879997                      -13.873805
              0.87970001                      -13.167499
              0.88059998                      -12.519305
              0.88150001                      -11.921716
              0.88239998                      -11.368568
              0.88330001                      -10.854751
              0.88419998                      -10.375994
              0.88510001                      -9.9286926
              0.88599998                      -9.5097818
              0.88690001                      -9.1166335
              0.88779998                      -8.7469756
              0.88870001                      -8.3988358
              0.88959998                      -8.0704827
              0.89050001                      -7.7603942
              0.89139998                      -7.4672225
              0.89230001                      -7.1897636
              0.89319998                      -6.9269431
              0.89410001                      -6.6777907
              0.89499998                      -6.4414316
              0.89590001                      -6.2170688
              0.89679998                      -6.0039775
              0.89770001                      -5.8014915
              0.89859998                      -5.6090012
              0.89950001                      -5.4259388
              0.90039998                      -5.2517826
              0.90130001                      -5.0860463
              0.90219998                      -4.9282762
              0.90310001                      -4.7780443
              0.90399998                       -4.634954
              0.90490001                      -4.4986277
              0.90579998                      -4.3687115
              0.90670002                        -4.24487
              0.90759999                      -4.1267837
              0.90850002                      -4.0141511
              0.90939999                      -3.9066816
              0.91030002                      -3.8041024
              0.91119999                      -3.7061505
              0.91210002                      -3.6125748
              0.91299999                      -3.5231354
              0.91390002                      -3.4376032
              0.91479999                      -3.3557563
              0.91570002                      -3.2773843
              0.91659999                      -3.2022871
              0.91750002                      -3.1302692
              0.91839999                      -3.0611494
              0.91930002                      -2.9947465
              0.92019999                      -2.9308968
              0.92110002                       -2.869437
              0.92199999                      -2.8102167
              0.92290002                      -2.7530898
              0.92379999                      -2.6979212
              0.92470002                       -2.644581
              0.92559999                       -2.592948
              0.92650002                      -2.5429077
              0.92739999                      -2.4943564
              0.92830002                      -2.4471935
              0.92919999                      -2.4013275
              0.93010002                       -2.356677
              0.93099999                      -2.3131625
              0.93190002                      -2.2707145
              0.93279999                      -2.2292714
              0.93370003                      -2.1887752
                  0.9346                      -2.1491779
              0.93550003                      -2.1104315
                  0.9364                      -2.0725014
              0.93730003                      -2.0353548
                  0.9382                      -1.9989621
              0.93910003                      -1.9633015
                    0.94                      -1.9283555
              0.94090003                      -1.8941079
                  0.9418                      -1.8605507
              0.94270003                      -1.8276758
                  0.9436                      -1.7954782
              0.94450003                      -1.7639569
                  0.9454                      -1.7331128
              0.94630003                      -1.7029471
                  0.9472                      -1.6734646
              0.94809997                      -1.6446693
                   0.949                      -1.6165663
              0.94989997                      -1.5891609
                  0.9508                      -1.5624596
              0.95169997                       -1.536466
                  0.9526                      -1.5111862
              0.95349997                       -1.486623
                  0.9544                      -1.4627793
              0.95529997                      -1.4396549
                  0.9562                      -1.4172527
              0.95709997                      -1.3955688
                   0.958                      -1.3745987
              0.95889997                      -1.3543381
                  0.9598                      -1.3347801
              0.96069998                      -1.3159135
              0.96160001                       -1.297728
              0.96249998                      -1.2802087
              0.96340001                      -1.2633407
              0.96429998                       -1.247106
              0.96520001                       -1.231485
              0.96609998                      -1.2164563
              0.96700001                      -1.2019967
              0.96789998                      -1.1880805
              0.96880001                      -1.1746836
              0.96969998                      -1.1617755
              0.97060001                      -1.1493298
              0.97149998                       -1.137316
              0.97240001                      -1.1257053
              0.97329998                      -1.1144643
              0.97420001                      -1.1035639
              0.97509998                      -1.0929721
              0.97600001                      -1.0826593
              0.97689998                      -1.0725932
              0.97780001                      -1.0627441
              0.97869998                      -1.0530843
              0.97960001                      -1.0435851
              0.98049998                      -1.0342191
              0.98140001                      -1.0249609
              0.98229998                      -1.0157879
              0.98320001                      -1.0066773
              0.98409998                     -0.99760706
              0.98500001                     -0.98856406
              0.98589998                     -0.97952836
              0.98680001                     -0.97048723
              0.98769999                     -0.96143055
              0.98860002                     -0.95234791
              0.98949999                     -0.94323366
              0.99040002                     -0.93408285
              0.99129999                     -0.92489503
              0.99220002                     -0.91566839
              0.99309999                     -0.90640647
              0.99400002                      -0.8971149
              0.99489999                     -0.88779893
              0.99580002                      -0.8784675
              0.99669999                     -0.86913107
              0.99760002                     -0.85980091
              0.99849999                     -0.85049054
              0.99940002                     -0.84121287
                  1.0003                     -0.83198503
                  1.0012                     -0.82282182
                  1.0021                     -0.81373878
                   1.003                     -0.80475453
               1.0039001                     -0.79588568
                  1.0048                     -0.78714738
                  1.0057                     -0.77855865
                  1.0066                     -0.77013377
               1.0075001                     -0.76188942
                  1.0084                     -0.75383888
                  1.0093                     -0.74599679
                  1.0102                     -0.73837628
               1.0111001                     -0.73098582
                   1.012                     -0.72383626
                  1.0129                     -0.71693734
                  1.0138                     -0.71029317
               1.0147001                     -0.70391056
                  1.0156                     -0.69779048
                  1.0165                     -0.69193593
                  1.0174                     -0.68634523
               1.0183001                     -0.68101645
                  1.0192                     -0.67594489
                  1.0201                     -0.67112359
                   1.021                      -0.6665471
               1.0219001                     -0.66220447
                  1.0228                     -0.65808437
                  1.0237                     -0.65417653
                  1.0246                     -0.65046435
               1.0255001                     -0.64693424
                  1.0264                     -0.64357099
                  1.0273                     -0.64035519
                  1.0282                     -0.63727151
               1.0290999                     -0.63430131
                    1.03                     -0.63142516
                  1.0309                     -0.62862396
                  1.0318                     -0.62587857
               1.0326999                      -0.6231708
                  1.0336                      -0.6204817
                  1.0345                     -0.61779492
                  1.0354                     -0.61509019
               1.0362999                     -0.61235305
                  1.0372                     -0.60956723
                  1.0381                     -0.60671908
                   1.039                     -0.60379463
               1.0398999                     -0.60078276
                  1.0408                     -0.59767446
                  1.0417                     -0.59445949
                  1.0426                     -0.59113234
               1.0434999                     -0.58768761
                  1.0444                      -0.5841219
                  1.0453                     -0.58043358
                  1.0462                     -0.57662333
               1.0470999                     -0.57269346
                   1.048                     -0.56864836
                  1.0489                     -0.56449303
                  1.0498                     -0.56023486
               1.0506999                     -0.55588213
                  1.0516                     -0.55144558
                  1.0525                     -0.54693721
                  1.0534                     -0.54236949
                  1.0543                     -0.53775505
                  1.0552                     -0.53310822
                  1.0561                     -0.52844597
                   1.057                     -0.52378358
                  1.0579                     -0.51913513
                  1.0588                     -0.51451928
                  1.0597                     -0.50995079
                  1.0606                     -0.50544674
                  1.0615                      -0.5010212
                  1.0624                     -0.49669102
                  1.0633                     -0.49246915
                  1.0642                     -0.48837036
                  1.0651                     -0.48440739
                   1.066                     -0.48059115
                  1.0669                      -0.4769305
                  1.0678                     -0.47343747
                  1.0687                     -0.47011636
                  1.0696                     -0.46697568
                  1.0705                      -0.4640185
                  1.0714                     -0.46124783
                  1.0723                     -0.45866385
                  1.0732                     -0.45626707
                  1.0741                     -0.45405494
                   1.075                     -0.45202317
                  1.0759                     -0.45016656
                  1.0768                     -0.44847822
                  1.0777                     -0.44694898
                  1.0786                     -0.44556807
                  1.0795                     -0.44432577
                  1.0804                     -0.44320772
                  1.0813                     -0.44220304
               1.0822001                     -0.44129488
                  1.0831                      -0.4404691
                   1.084                     -0.43970752
                  1.0849                     -0.43899727
               1.0858001                      -0.4383187
                  1.0867                     -0.43765575
                  1.0876                     -0.43699159
                  1.0885                     -0.43631029
               1.0894001                      -0.4355944
                  1.0903                     -0.43482787
                  1.0912                     -0.43399808
                  1.0921                     -0.43308807
               1.0930001                     -0.43208671
                  1.0939                     -0.43098221
                  1.0948                     -0.42976274
                  1.0957                     -0.42841926
               1.0966001                     -0.42694402
                  1.0975                     -0.42533238
                  1.0984                     -0.42357806
                  1.0993                      -0.4216799
               1.1002001                     -0.41963582
                  1.1011                      -0.4174473
                   1.102                     -0.41511551
                  1.1029                     -0.41264556
               1.1038001                     -0.41004436
                  1.1047                     -0.40731753
                  1.1056                     -0.40447532
                  1.1065                     -0.40152686
               1.1073999                     -0.39848505
                  1.1083                     -0.39536184
                  1.1092                     -0.39217271
                  1.1101                     -0.38893058
               1.1109999                     -0.38565198
                  1.1119                     -0.38235335
                  1.1128                      -0.3790506
                  1.1137                     -0.37576048
               1.1145999                     -0.37249887
                  1.1155                     -0.36928365
                  1.1164                     -0.36613088
                  1.1173                     -0.36305569
               1.1181999                     -0.36007353
                  1.1191                     -0.35719897
                    1.12                     -0.35444517
                  1.1209                     -0.35182356
               1.1217999                     -0.34934609
                  1.1227                     -0.34702215
                  1.1236                     -0.34485874
                  1.1245                     -0.34286388
               1.1253999                      -0.3410422
                  1.1263                     -0.33939707
                  1.1272                      -0.3379286
                  1.1281                     -0.33663803
               1.1289999                     -0.33552386
                  1.1299                     -0.33457998
                  1.1308                     -0.33380387
                  1.1317                     -0.33318657
               1.1325999                     -0.33272011
                  1.1335                     -0.33239377
                  1.1344                     -0.33219616
                  1.1353                     -0.33211461
                  1.1362                     -0.33213388
                  1.1371                     -0.33224137
                   1.138                     -0.33241841
                  1.1389                     -0.33264951
                  1.1398                     -0.33291674
                  1.1407                      -0.3332036
                  1.1416                     -0.33349147
                  1.1425                     -0.33376126
                  1.1434                     -0.33399716
                  1.1443                      -0.3341803
                  1.1452                     -0.33429541
                  1.1461                     -0.33432539
                   1.147                     -0.33425434
                  1.1479                     -0.33407149
                  1.1488                     -0.33376043
                  1.1497                     -0.33331092
                  1.1506                     -0.33271433
                  1.1515                     -0.33196064
                  1.1524                     -0.33104445
                  1.1533                     -0.32996008
                  1.1542                     -0.32870613
                  1.1551                     -0.32728066
                   1.156                     -0.32568452
                  1.1569                     -0.32392149
                  1.1578                     -0.32199575
                  1.1587                     -0.31991326
                  1.1596                     -0.31768478
                  1.1605                     -0.31531876
                  1.1614                     -0.31282732
                  1.1623                     -0.31022369
                  1.1632                     -0.30752219
               1.1641001                     -0.30473995
                   1.165                     -0.30189339
                  1.1659                     -0.29899827
                  1.1668                     -0.29607558
               1.1677001                     -0.29314213
                  1.1686                     -0.29021828
                  1.1695                     -0.28732401
                  1.1704                     -0.28447528
               1.1713001                     -0.28169338
                  1.1722                      -0.2789963
                  1.1731                     -0.27640051
                   1.174                     -0.27392325
               1.1749001                     -0.27157823
                  1.1758                     -0.26938222
                  1.1767                     -0.26734604
                  1.1776                     -0.26548186
               1.1785001                     -0.26379896
                  1.1794                     -0.26230426
                  1.1803                      -0.2610039
                  1.1812                     -0.25990244
               1.1821001                     -0.25900129
                   1.183                     -0.25830065
                  1.1839                     -0.25779741
                  1.1848                     -0.25748749
               1.1857001                     -0.25736552
                  1.1866                     -0.25742278
                  1.1875                     -0.25764815
                  1.1884                     -0.25803084
               1.1892999                     -0.25855742
                  1.1902                     -0.25921162
                  1.1911                     -0.25997678
                   1.192                     -0.26083586
               1.1928999                     -0.26177016
                  1.1938                     -0.26275769
                  1.1947                        -0.26378
                  1.1956                     -0.26481441
               1.1964999                       -0.265841
                  1.1974                     -0.26683736
                  1.1983                     -0.26778238
                  1.1992                     -0.26865603
               1.2000999                       -0.269437
                   1.201                     -0.27010524
                  1.2019                     -0.27064475
                  1.2028                     -0.27103807
               1.2036999                     -0.27126808
                  1.2046                     -0.27132291
                  1.2055                     -0.27119055
                  1.2064                     -0.27085862
               1.2072999                     -0.27032294
                  1.2082                      -0.2695745
                  1.2091                     -0.26861223
                    1.21                     -0.26743546
               1.2108999                     -0.26604288
                  1.2118                     -0.26444024
                  1.2127                     -0.26263405
                  1.2136                     -0.26063291
                  1.2145                     -0.25844664
                  1.2154                     -0.25608832
                  1.2163                     -0.25357219
                  1.2172                     -0.25091694
                  1.2181                     -0.24813956
                   1.219                     -0.24526076
                  1.2199                     -0.24230054
                  1.2208                     -0.23928314
                  1.2217                     -0.23622948
                  1.2226                     -0.23316598
                  1.2235                     -0.23011424
                  1.2244                     -0.22710022
                  1.2253                     -0.22414815
                  1.2262                      -0.2212806
                  1.2271                     -0.21852026
                   1.228                     -0.21589098
                  1.2289                     -0.21341196
                  1.2298                     -0.21110341
                  1.2307                      -0.2089843
                  1.2316                     -0.20707021
                  1.2325                     -0.20537452
                  1.2334                     -0.20390945
                  1.2343                     -0.20268513
                  1.2352                     -0.20170839
                  1.2361                     -0.20098581
